name,url,type,themes,description
Interaktiv,https://interaktiv.morgenpost.de/klimawandel-hitze-meeresspiegel-wassermangel-stuerme-unbewohnbar/en.html,,"map,climate,inhabitance,uninhabitability","Carte des zones qui deviendront inhabitables à cause du dérèglement climatique."
Calm Code,https://calmcode.io,Community,"open-source,tech,tips,calmtech","Dépot de ressources en communs, par des personnes de la tech qui préfèrent du contenu épuré, utile et simple, que la course à la hype."
Open Route Service,https://openrouteservice.org/,Community,"open-source,map,intinerary",""
Bruegel,https://www.bruegel.org,Media,"EU,europe,economics,regulation",""
Kai Zenner,https://www.kaizenner.eu,Individual,"EU,europe,AI,economics,regulation",""
Liberty Rider,https://liberty-rider.com/,,"motorbike,map",""
Hourrail,https://www.hourrail.voyage/,Entreprise,"train,map",""
Kurviger,https://kurviger.de,,"map,car,sail,boat",""
Mollow,https://www.mollow.eu/,Entreprise,"train,sail,boat,map",""
Hexplo,https://app.hexplo.fr/,Entreprise,"bike,train,map",""
Carte Graou,https://carto.graou.info/,,"train,map",""
Nacht Zugkarte,https://nachtzugkarte.de/en/,,"train,map",""
Transport Data Gouv,https://transport.data.gouv.fr/,,"open-data,train",""
Villes Cyclables,https://villes-cyclables.org/le-club/les-adherents-des-territoires-engages-pour-le-velo#list,,"open-data,bike",""
Baromètre Parlons Vélo,https://barometre.parlons-velo.fr/2021/palmares/#5.4/46.789/2.222,,"bike",""
Vélo Territoires,https://www.velo-territoires.org/schemas-itineraires/schema-europeen-eurovelo/,,"bike,map",""
"France Vélotourisme",https://www.francevelotourisme.com/itineraire,,"bike,map",""
Af3v,https://www.af3v.org/,,"bike",""
Pistes cyclables sur OpenStreetMap,https://www.openstreetmap.org/#map=11/47.3621/-2.3373&layers=C,,"bike,map,open-data","Pistes cyclables sur OpenStreetMap"
Aménagements Cyclables,https://www.amenagements-cyclables.fr/fr/stats,,"bike,map",""
Documentation pistes cyclables OpenStreetMap,https://wiki.openstreetmap.org/wiki/France/Itin%C3%A9raires_cyclable,,"bike,map,open-data",""
La Trace,https://www.latrace.com/,,"bike,train",""
Zoom Earth,https://zoom.earth,,"weather,map",""
Météo & Radar,https://www.meteoetradar.com/,,"weather",""
